Index: 0, Similarity Score: 1.0000, Filename: MVNCGT-0001-JLP1751YAR7000002_orig.graphml
Index: 393, Similarity Score: 0.9952, Filename: MVNCGT-0116-JP1797C53U00AB_orig.graphml

Index: 1, Similarity Score: 1.0000, Filename: MVNCGT-0001-JLP17614NYP000002_orig.graphml
Index: 139, Similarity Score: 0.9858, Filename: MVNCGT-0055-JLP175C1REG000001_orig.graphml

Index: 2, Similarity Score: 1.0000, Filename: MVNCGT-0001-JLP1773PCBP000002_orig.graphml
Index: 9, Similarity Score: 0.9999, Filename: MVNCGT-0003-JLP17737L4E000002_orig.graphml

Index: 3, Similarity Score: 1.0000, Filename: MVNCGT-0002-JLP1752ETSZ000002_orig.graphml
Index: 7, Similarity Score: 1.0000, Filename: MVNCGT-0003-JLP1759X4S9000002_orig.graphml

Index: 4, Similarity Score: 1.0000, Filename: MVNCGT-0002-JLP17612XH6000001_orig.graphml
Index: 226, Similarity Score: 0.9961, Filename: MVNCGT-0078-JLP174HJ7XY000002_orig.graphml

Index: 5, Similarity Score: 1.0000, Filename: MVNCGT-0002-JP1782A8RF00AA_orig.graphml
Index: 65, Similarity Score: 0.9950, Filename: MVNCGT-0030-JP17949YA800AB_orig.graphml

Index: 6, Similarity Score: 1.0000, Filename: MVNCGT-0002-JP1791HJSF00AB_orig.graphml
Index: 123, Similarity Score: 0.9976, Filename: MVNCGT-0050-JP1794B3CB00AB_orig.graphml

Index: 7, Similarity Score: 1.0000, Filename: MVNCGT-0003-JLP1759X4S9000002_orig.graphml
Index: 3, Similarity Score: 1.0000, Filename: MVNCGT-0002-JLP1752ETSZ000002_orig.graphml

Index: 8, Similarity Score: 1.0000, Filename: MVNCGT-0003-JLP1761N100000002_orig.graphml
Index: 122, Similarity Score: 0.9766, Filename: MVNCGT-0050-JLP1766XG9N000002_orig.graphml

Index: 9, Similarity Score: 1.0000, Filename: MVNCGT-0003-JLP17737L4E000002_orig.graphml
